"Geographic.Area.Code","Geographic.Area.Name","Geographic.Area.Level","Parent.Geographic.Area.Code","Parent.Geographic.Area.Name","Geographic.Area.Type","X","Y","ISO.Code","Units.Code","Units.Desc","Time.Series.Id","Time.Series.Keys","Number.of.Years.Available","Earliest.Year.Available","Latest.Year.Available","Available.Years","Value.2000","Value.2005","Value.2010","Value.2015","Value.2019","ObjectId","x2","y2"
520,"Nauru",4,543,"Oceania (exc. Australia and New Zealand)","Country",166.92313,-0.528742623,"NRU","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",5.75862,3.57761,6.03978,4.17752,4.17752,61,18581797.8332194,-58860.1949962164
520,"Nauru",4,543,"Oceania (exc. Australia and New Zealand)","Country",166.92313,-0.528742623,"NRU","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.03647,1.2355,2.09541,1.456,1.45951,62,18581797.8332194,-58860.1949962164
520,"Nauru",4,543,"Oceania (exc. Australia and New Zealand)","Country",166.92313,-0.528742623,"NRU","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",2.03647,1.2355,2.09541,1.456,1.45951,63,18581797.8332194,-58860.1949962164
520,"Nauru",4,543,"Oceania (exc. Australia and New Zealand)","Country",166.92313,-0.528742623,"NRU","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",9.66477,6.04623,10.20901,7.06154,7.06818,64,18581797.8332194,-58860.1949962164
520,"Nauru",4,543,"Oceania (exc. Australia and New Zealand)","Country",166.92313,-0.528742623,"NRU","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",9.66477,6.04623,10.20901,7.06154,7.06818,65,18581797.8332194,-58860.1949962164
524,"Nepal",5,127,"Southern Asia (excluding India)","Country",83.94678863,28.25866332,"NPL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.20747,0.36884,0.40342,0.46681,0.61665,66,9344913.76402217,3281624.63090999
524,"Nepal",5,127,"Southern Asia (excluding India)","Country",83.94678863,28.25866332,"NPL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.20747,0.36884,0.40342,0.46681,0.61665,67,9344913.76402217,3281624.63090999
524,"Nepal",5,127,"Southern Asia (excluding India)","Country",83.94678863,28.25866332,"NPL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.07443,0.13142,0.14669,0.18597,0.24688,68,9344913.76402217,3281624.63090999
524,"Nepal",5,127,"Southern Asia (excluding India)","Country",83.94678863,28.25866332,"NPL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.07443,0.13142,0.14669,0.18597,0.24688,69,9344913.76402217,3281624.63090999
524,"Nepal",5,127,"Southern Asia (excluding India)","Country",83.94678863,28.25866332,"NPL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.34725,0.61928,0.68219,0.83035,1.09891,70,9344913.76402217,3281624.63090999
524,"Nepal",5,127,"Southern Asia (excluding India)","Country",83.94678863,28.25866332,"NPL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",0.34725,0.61928,0.68219,0.83035,1.09891,71,9344913.76402217,3281624.63090999
528,"Netherlands",5,155,"Western Europe","Country",5.331480568,51.86728884,"NLD","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",11.06188,10.70037,10.31966,9.56595,9.66647,72,593497.702003993,6776165.05290308
528,"Netherlands",5,155,"Western Europe","Country",5.331480568,51.86728884,"NLD","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",5.25769,5.08161,4.89407,4.48795,4.53658,73,593497.702003993,6776165.05290308
528,"Netherlands",5,155,"Western Europe","Country",5.331480568,51.86728884,"NLD","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",17.06318,16.49971,15.89945,14.77103,14.90457,74,593497.702003993,6776165.05290308
554,"New Zealand",4,53,"Australia and New Zealand","Country",170.4755673,-43.98721568,"NZL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15___T","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",10.22889,10.90923,11.32007,10.43222,10.69074,75,18977253.3445304,-5463463.99345841
554,"New Zealand",4,53,"Australia and New Zealand","Country",170.4755673,-43.98721568,"NZL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__F","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",4.91327,5.30888,5.51824,5.0872,5.23308,76,18977253.3445304,-5463463.99345841
554,"New Zealand",4,53,"Australia and New Zealand","Country",170.4755673,-43.98721568,"NZL","LITRES_PURE_ALCOHOL","Litres pure alcohol","SH_ALC_CONSPT__Y_GE15__M","age__sex",5,2000,2019,"[2000, 2005, 2010, 2015, 2019]",15.89682,16.88697,17.47204,16.07923,16.45529,77,18977253.3445304,-5463463.99345841
